Id,Subscribers,CC,Views,Length,Automobile,Blog,Comedy,Entertainment,Food,Informative,News,Science,Tech,VideoGames,Title_Length,Title_Upper,Title_Digit,Title_Punct
thumbnails\images\3Blue1Brown\3d6DsjIBzJ4,4280,1,2600,1340,0,0,0,0,0,0,0,1,0,0,47,0.0638297872340425,0.0425531914893617,0.0212765957446809
thumbnails\images\3Blue1Brown\CfW845LNObM,4280,1,3100,983,0,0,0,0,0,0,0,1,0,0,72,0.0416666666666667,0.0277777777777778,0.0138888888888889
thumbnails\images\3Blue1Brown\EK32jo7i5LQ,4280,1,3500,1350,0,0,0,0,0,0,0,1,0,0,91,0.021978021978022,0,0.043956043956044
thumbnails\images\3Blue1Brown\GNcFjFmqEc8,4280,1,5500,951,0,0,0,0,0,0,0,1,0,0,57,0.0175438596491228,0,0.0350877192982456
thumbnails\images\3Blue1Brown\HEfHFsfGXjs,4280,1,8200,313,0,0,0,0,0,0,0,1,0,0,47,0.0212765957446809,0,0
thumbnails\images\3Blue1Brown\IHZwWFHWa-w,4280,1,4400,1261,0,0,0,0,0,0,0,1,0,0,70,0.0428571428571429,0.0142857142857143,0.0285714285714286
thumbnails\images\3Blue1Brown\Ilg3gGewQ5U,4280,1,2800,834,0,0,0,0,0,0,0,1,0,0,64,0.046875,0.015625,0.03125
thumbnails\images\3Blue1Brown\Kas0tIxDvrg,4280,1,5800,537,0,0,0,0,0,0,0,1,0,0,32,0.03125,0,0
thumbnails\images\3Blue1Brown\M64HUIJFTZM,4280,1,3900,963,0,0,0,0,0,0,0,1,0,0,54,0.0925925925925926,0.0925925925925926,0.0555555555555556
thumbnails\images\3Blue1Brown\OkmNXy7er84,4280,1,13000,675,0,0,0,0,0,0,0,1,0,0,39,0.0256410256410256,0,0
thumbnails\images\3Blue1Brown\PFDu9oVAE-g,4280,1,2900,1036,0,0,0,0,0,0,0,1,0,0,68,0.0441176470588235,0.0294117647058824,0.0147058823529412
thumbnails\images\3Blue1Brown\QJYmyhnaaek,4280,1,3000,1018,0,0,0,0,0,0,0,1,0,0,44,0.0227272727272727,0,0.0227272727272727
thumbnails\images\3Blue1Brown\WUvTyaaNkzM,4280,1,5800,1025,0,0,0,0,0,0,0,1,0,0,23,0.0434782608695652,0,0
thumbnails\images\3Blue1Brown\XFDM1ip5HdU,4280,1,3100,908,0,0,0,0,0,0,0,1,0,0,38,0.0263157894736842,0,0.0263157894736842
thumbnails\images\3Blue1Brown\aircAruvnKk,4280,1,10000,1153,0,0,0,0,0,0,0,1,0,0,56,0.0535714285714286,0.0178571428571429,0.0357142857142857
thumbnails\images\3Blue1Brown\bBC-nXj3Ng4,4280,1,12000,1581,0,0,0,0,0,0,0,1,0,0,35,0.0285714285714286,0,0.0285714285714286
